,,,,,Games,,Rushing,,,,,,,Receiving,,,,,,,,,,,
Rk,Name,Tm,Age,Pos,G,GS,*Att,*Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,*Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YScm,RRTD,Fmb
200,Derek Anderson,CAR,34,,2,0,2,-2,0,-1,-1,-1,1,,,,,,,,,,-2,0,0
201,Doug Baldwin,SEA,29,WR,11,11,2,-8,0,-3,-4,-0.7,0.2,88,58,698,12,4,54,5.3,63.5,65.90%,690,4,0
202,Brandon Bolden,NWE,27,,11,0,2,1,0,2,0.5,0.1,0.2,,,,,,,,,,1,0,0
203,Sam Bradford,MIN,30,qb,2,2,2,-3,0,-1,-1.5,-1.5,1,,,,,,,,,,-3,0,0
204,Kaelin Clay,2TM,25,,8,0,2,29,0,29,14.5,3.6,0.3,9,2,33,16.5,0,28,0.3,4.1,22.20%,62,0,2
205,Derrick Coleman,ATL,27,fb,11,3,2,8,0,5,4,0.7,0.2,5,2,20,10,0,11,0.2,1.8,40.00%,28,0,0
206,Trevor Davis,GNB,24,,11,0,2,13,0,9,6.5,1.2,0.2,2,2,14,7,0,9,0.2,1.3,100.00%,27,0,0
207,Patrick DiMarco,BUF,28,fb,11,5,2,-2,0,0,-1,-0.2,0.2,6,4,26,6.5,0,9,0.4,2.4,66.70%,24,0,0
208,Jalston Fowler,TEN,27,fb,10,1,2,4,1,3,2,0.4,0.2,1,0,0,,0,0,0,0,0.00%,4,1,0
209,Will Fuller,HOU,23,WR,6,6,2,9,0,5,4.5,1.5,0.3,33,17,326,19.2,7,59,2.8,54.3,51.50%,335,7,0
210,Marquise Goodwin,SFO,27,WR,11,11,2,24,0,18,12,2.2,0.2,62,27,578,21.4,1,83,2.5,52.5,43.50%,602,1,0
211,Travis Kelce,KAN,28,TE,11,11,2,7,0,4,3.5,0.6,0.2,86,62,777,12.5,5,44,5.6,70.6,72.10%,784,5,0
212,Tavarres King,NYG,27,wr,6,3,2,3,0,11,1.5,0.5,0.3,25,12,147,12.3,1,27,2,24.5,48.00%,150,1,0
213,Paxton Lynch,DEN,23,qb,1,1,2,20,0,11,10,20,2,,,,,,,,,,20,0,1
214,EJ Manuel,OAK,27,qb,2,1,2,15,0,10,7.5,7.5,1,,,,,,,,,,15,0,0
215,Vince Mayle,BAL,26,,11,0,2,2,1,2,1,0.2,0.2,1,0,0,,0,0,0,0,0.00%,2,1,0
216,JJ Nelson,ARI,25,wr,11,2,2,30,0,16,15,2.7,0.2,45,23,376,16.3,2,45,2.1,34.2,51.10%,406,2,1
217,Niles Paul,WAS,28,te/wr,9,5,2,4,0,5,2,0.4,0.2,10,7,56,8,0,32,0.8,6.2,70.00%,60,0,0
218,Nathan Peterman,BUF,23,qb,2,1,2,4,0,4,2,2,1,,,,,,,,,,4,0,1
219,Cooper Rush,DAL,24,,2,0,2,13,0,15,6.5,6.5,1,,,,,,,,,,13,0,0
220,Mohamed Sanu,ATL,28,WR,10,10,2,7,0,4,3.5,0.7,0.2,61,45,452,10,4,25,4.5,45.2,73.80%,459,4,0
221,C.J. Spiller,KAN,30,,1,0,2,0,0,1,0,0,2,2,0,0,,0,0,0,0,0.00%,0,0,0
222,Deonte Thompson,2TM,28,,11,5,2,-5,0,0,-2.5,-0.5,0.2,47,28,370,13.2,2,44,2.5,33.6,59.60%,365,2,1
223,Scott Tolzien,IND,30,qb,1,1,2,2,0,3,1,2,2,,,,,,,,,,2,0,1
224,Delanie Walker,TEN,33,TE,11,8,2,-2,1,1,-1,-0.2,0.2,77,53,613,11.6,1,42,4.8,55.7,68.80%,611,2,1
225,Andre Williams,LAC,25,,6,0,2,2,0,2,1,0.3,0.3,,,,,,,,,,2,0,0
226,Robert Woods,LAR,25,WR,10,9,2,12,0,8,6,1.2,0.2,70,47,703,15,4,94,4.7,70.3,67.10%,715,4,1
227,Robby Anderson,NYJ,24,WR,11,10,1,1,0,1,1,0.1,0.1,74,41,714,17.4,7,69,3.7,64.9,55.40%,715,7,0
228,Odell Beckham,NYG,25,wr,4,2,1,8,0,8,8,2,0.3,41,25,302,12.1,3,48,6.3,75.5,61.00%,310,3,0
229,Nat Berhe,NYG,26,,11,0,1,2,0,2,2,0.2,0.1,,,,,,,,,,2,0,0
230,Matthew Bosher,ATL,30,P,11,0,1,0,0,0,0,0,0.1,,,,,,,,,,0,0,0
231,John Brown,ARI,27,wr,8,5,1,10,0,10,10,1.3,0.1,47,19,271,14.3,2,52,2.4,33.9,40.40%,281,2,0
232,Michael Burton,CHI,25,fb,11,2,1,7,0,7,7,0.6,0.1,2,1,8,8,0,8,0.1,0.7,50.00%,15,0,0
233,Damiere Byrd,CAR,24,,4,0,1,12,0,12,12,3,0.3,4,0,0,,0,0,0,0,0.00%,12,0,0
234,Amari Cooper,OAK,23,WR,11,11,1,4,0,4,4,0.4,0.1,85,42,499,11.9,5,45,3.8,45.4,49.40%,503,5,1
235,Austin Davis,SEA,28,,2,0,1,-1,0,-1,-1,-0.5,0.5,,,,,,,,,,-1,0,0
236,Justin Davis,LAR,22,,3,0,1,1,0,1,1,0.3,0.3,,,,,,,,,,1,0,0
237,Phillip Dorsett,NWE,24,wr,11,2,1,7,0,7,7,0.6,0.1,11,7,140,20,0,39,0.6,12.7,63.60%,147,0,0
238,Nate Ebner,NWE,29,,9,0,1,14,0,14,14,1.6,0.1,,,,,,,,,,14,0,1
239,Gerald Everett,LAR,23,te,11,2,1,13,0,13,13,1.2,0.1,20,10,215,21.5,1,69,0.9,19.5,50.00%,228,1,0
240,Josh Ferguson,IND,24,,5,0,1,5,0,5,5,1,0.2,,,,,,,,,,5,0,0
241,D.J. Foster,ARI,24,,3,0,1,4,0,4,4,1.3,0.3,6,5,44,8.8,0,20,1.7,14.7,83.30%,48,0,0
242,Jimmy Garoppolo,SFO,26,,1,0,1,4,0,4,4,4,1,,,,,,,,,,4,0,0
243,MarQueis Gray,MIA,28,,11,0,1,3,0,3,3,0.3,0.1,2,0,0,,0,0,0,0,0.00%,3,0,0
244,De'Angelo Henderson,DEN,25,,3,0,1,1,0,1,1,0.3,0.3,,,,,,,,,,1,0,0
245,Darrius Heyward-Bey,PIT,30,,11,0,1,3,0,3,3,0.3,0.1,2,1,44,44,0,44,0.1,4,50.00%,47,0,0
246,Rashard Higgins,CLE,23,wr,10,3,1,4,0,4,4,0.4,0.1,40,20,214,10.7,0,35,2,21.4,50.00%,218,0,0
247,Josh Hill,NOR,27,TE,11,7,1,-8,0,-8,-8,-0.7,0.1,10,9,62,6.9,1,19,0.8,5.6,90.00%,54,1,1
248,DeSean Jackson,TAM,31,WR,11,10,1,8,0,8,8,0.7,0.1,79,43,592,13.8,3,41,3.9,53.8,54.40%,600,3,0
249,Julio Jones,ATL,28,WR,11,11,1,15,0,15,15,1.4,0.1,101,66,1039,15.7,3,53,6,94.5,65.30%,1054,3,0
250,Cody Kessler,CLE,24,,3,0,1,-1,0,-1,-1,-0.3,0.3,,,,,,,,,,-1,0,0
251,Marquette King,OAK,29,P,11,0,1,-3,0,-3,-3,-0.3,0.1,,,,,,,,,,-3,0,0
252,John Kuhn,NOR,35,fb,2,1,1,2,0,2,2,1,0.5,,,,,,,,,,2,0,0
253,Jarvis Landry,MIA,25,WR,11,11,1,-7,0,-7,-7,-0.6,0.1,117,75,637,8.5,6,49,6.8,57.9,64.10%,630,6,3
254,Marqise Lee,JAX,26,WR,11,11,1,17,0,17,17,1.5,0.1,80,44,551,12.5,2,45,4,50.1,55.00%,568,2,1
255,Tommylee Lewis,NOR,25,,10,0,1,8,0,8,8,0.8,0.1,11,7,84,12,0,52,0.7,8.4,63.60%,92,0,0
256,Rishard Matthews,TEN,28,WR,10,9,1,-3,0,-3,-3,-0.3,0.1,68,41,626,15.3,3,75,4.1,62.6,60.30%,623,3,0
257,Darren McFadden,DAL,30,,1,0,1,-2,0,-2,-2,-2,1,,,,,,,,,,-2,0,0
258,Isaiah McKenzie,DEN,22,,8,0,1,4,0,4,4,0.5,0.1,8,2,14,7,0,14,0.3,1.8,25.00%,18,0,5
259,Braxton Miller,HOU,25,wr,8,2,1,1,0,1,1,0.1,0.1,19,12,77,6.4,1,19,1.5,9.6,63.20%,78,1,0
260,Chris Moore,BAL,24,wr,8,2,1,-5,0,-5,-5,-0.6,0.1,23,9,133,14.8,1,23,1.1,16.6,39.10%,128,1,0
261,David Njoku,CLE,21,te,11,2,1,1,0,1,1,0.1,0.1,43,24,258,10.8,3,31,2.2,23.5,55.80%,259,3,0
262,Elijhaa Penny,ARI,24,,11,0,1,1,0,1,1,0.1,0.1,1,1,6,6,0,6,0.1,0.5,100.00%,7,0,0
263,Bobby Rainey,BAL,30,,4,0,1,2,0,2,2,0.5,0.3,7,5,18,3.6,0,12,1.3,4.5,71.40%,20,0,0
264,Kalif Raymond,2TM,23,,4,0,1,-1,0,0,-1,-0.3,0.3,1,1,12,12,0,12,0.3,3,100.00%,11,0,4
265,Kasey Redfern,DET,26,p,1,0,1,10,0,10,10,10,1,,,,,,,,,,10,0,1
266,Chester Rogers,IND,23,,6,0,1,3,0,3,3,0.5,0.2,16,14,185,13.2,1,61,2.3,30.8,87.50%,188,1,0
267,John Ross,CIN,23,wr,3,1,1,12,0,12,12,4,0.3,2,0,0,,0,0,0,0,0.00%,12,0,1
268,Russell Shepard,CAR,27,wr,11,2,1,11,0,11,11,1,0.1,27,14,173,12.4,1,40,1.3,15.7,51.90%,184,1,0
269,Geno Smith,NYG,27,,1,0,1,-1,0,-1,-1,-1,1,,,,,,,,,,-1,0,0
270,Torrey Smith,PHI,28,WR,11,9,1,-3,0,-3,-3,-0.3,0.1,38,22,279,12.7,2,59,2,25.4,57.90%,276,2,0
271,Adam Thielen,MIN,27,WR,11,11,1,11,0,11,11,1,0.1,107,70,1005,14.4,3,65,6.4,91.4,65.40%,1016,3,3
272,De'Anthony Thomas,KAN,24,wr,11,1,1,4,0,4,4,0.4,0.1,13,12,137,11.4,2,57,1.1,12.5,92.30%,141,2,1
273,Lawrence Thomas,NYJ,24,fb,9,2,1,0,0,0,0,0,0.1,5,5,36,7.2,0,15,0.6,4,100.00%,36,0,0
274,Bryce Treggs,CLE,23,wr,6,1,1,6,0,6,6,1,0.2,18,5,79,15.8,0,20,0.8,13.2,27.80%,85,0,1
275,Mike Wallace,BAL,31,WR,10,9,1,4,0,4,4,0.4,0.1,50,29,371,12.8,3,54,2.9,37.1,58.00%,375,3,0
276,Chad Williams,ARI,23,wr,3,1,1,0,0,0,0,0,0.3,6,3,31,10.3,0,15,1,10.3,50.00%,31,0,0
277,Maxx Williams,BAL,23,te,6,4,1,2,0,2,2,0.3,0.2,12,12,79,6.6,0,17,2,13.2,100.00%,81,0,1
278,Terrance Williams,DAL,28,WR,11,11,1,6,0,6,6,0.5,0.1,56,39,455,11.7,0,56,3.5,41.4,69.60%,461,0,0
