,,,,,Games,,Rushing,,,,,,,Receiving,,,,,,,,,,,
Rk,Name,Tm,Age,Pos,G,GS,*Att,*Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,*Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YScm,RRTD,Fmb
81,James White,NWE,25,rb,11,2,38,153,0,10,4,13.9,3.5,59,47,378,8,2,27,4.3,34.4,79.70%,531,2,0
82,Malcolm Brown,LAR,24,,7,0,37,138,1,16,3.7,19.7,5.3,5,5,46,9.2,0,16,0.7,6.6,100.00%,184,1,1
83,Austin Ekeler,LAC,22,,11,0,37,179,2,35,4.8,16.3,3.4,28,24,252,10.5,3,38,2.2,22.9,85.70%,431,5,1
84,Jeremy Hill,CIN,25,RB,7,7,37,116,0,13,3.1,16.6,5.3,4,4,16,4,0,10,0.6,2.3,100.00%,132,0,1
85,Kirk Cousins,WAS,29,QB,11,11,36,145,3,18,4,13.2,3.3,,,,,,,,,,145,3,10
86,Deshaun Watson,HOU,22,QB,7,6,36,269,2,49,7.5,38.4,5.1,,,,,,,,,,269,2,3
87,Giovani Bernard,CIN,26,,11,0,34,121,0,25,3.6,11,3.1,28,19,219,11.5,2,61,1.7,19.9,67.90%,340,2,0
88,Dak Prescott,DAL,24,QB,11,11,34,247,5,21,7.3,22.5,3.1,,,,,,,,,,247,5,4
89,J.D. McKissic,SEA,24,rb,8,1,32,144,1,30,4.5,18,4,31,22,173,7.9,1,27,2.8,21.6,71.00%,317,2,0
90,Paul Perkins,NYG,23,rb,7,4,32,61,0,14,1.9,8.7,4.6,9,7,35,5,0,7,1,5,77.80%,96,0,0
91,Andy Dalton,CIN,30,QB,11,11,31,83,0,25,2.7,7.5,2.8,,,,,,,,,,83,0,4
92,T.J. Yeldon,JAX,24,,5,0,31,199,1,58,6.4,39.8,6.2,22,16,112,7,0,16,3.2,22.4,72.70%,311,1,2
93,Peyton Barber,TAM,23,,11,0,30,88,2,14,2.9,8,2.7,5,4,31,7.8,0,11,0.4,2.8,80.00%,119,2,0
94,Rod Smith,DAL,25,rb,11,1,30,135,1,45,4.5,12.3,2.7,11,8,45,5.6,0,18,0.7,4.1,72.70%,180,1,0
95,Shane Vereen,NYG,28,,11,0,30,115,0,12,3.8,10.5,2.7,39,33,201,6.1,0,20,3,18.3,84.60%,316,0,0
96,Josh McCown,NYJ,38,QB,11,11,28,98,3,22,3.5,8.9,2.5,,,,,,,,,,98,3,10
97,Kerwynn Williams,ARI,26,rb,11,1,28,69,1,11,2.5,6.3,2.5,9,6,58,9.7,0,25,0.5,5.3,66.70%,127,1,0
98,C.J. Beathard,SFO,24,qb,7,5,26,136,3,16,5.2,19.4,3.7,,,,,,,,,,136,3,3
99,Trevor Siemian,DEN,26,QB,8,7,25,98,1,14,3.9,12.3,3.1,,,,,,,,,,98,1,5
100,Mitch Trubisky,CHI,23,QB,7,7,25,175,0,46,7,25,3.6,,,,,,,,,,175,0,6
101,James Conner,PIT,22,,11,0,24,113,0,23,4.7,10.3,2.2,1,0,0,,0,0,0,0,0.00%,113,0,0
102,Case Keenum,MIN,29,QB,10,9,23,103,1,22,4.5,10.3,2.3,,,,,,,,,,103,1,0
103,Robert Turbin,IND,28,rb,6,1,23,53,1,7,2.3,8.8,3.8,11,9,56,6.2,0,16,1.5,9.3,81.80%,109,1,0
104,Drew Brees,NOR,38,QB,11,11,22,16,2,7,0.7,1.5,2,,,,,,,,,,16,2,4
105,Jared Goff,LAR,23,QB,11,11,22,53,1,22,2.4,4.8,2,,,,,,,,,,53,1,3
106,Ben Roethlisberger,PIT,35,QB,11,11,22,29,0,14,1.3,2.6,2,,,,,,,,,,29,0,2
107,Matthew Stafford,DET,29,QB,11,11,22,88,0,15,4,8,2,,,,,,,,,,88,0,9
108,Terron Ward,ATL,25,,9,0,22,89,0,17,4,9.9,2.4,2,2,8,4,0,11,0.2,0.9,100.00%,97,0,1
109,Alfred Blue,HOU,26,,7,0,21,58,0,8,2.8,8.3,3,2,2,11,5.5,0,14,0.3,1.6,100.00%,69,0,0
110,Tom Brady,NWE,40,QB,11,11,21,24,0,7,1.1,2.2,1.9,,,,,,,,,,24,0,7
111,Corey Grant,JAX,26,,11,0,20,179,1,58,9,16.3,1.8,4,3,41,13.7,0,28,0.3,3.7,75.00%,220,1,0
112,Branden Oliver,LAC,26,,5,0,20,61,0,26,3.1,12.2,4,8,5,20,4,0,11,1,4,62.50%,81,0,0
113,Matt Ryan,ATL,32,QB,11,11,20,92,0,16,4.6,8.4,1.8,,,,,,,,,,92,0,4
114,Dwayne Washington,DET,23,,5,0,20,44,0,6,2.2,8.8,4,2,2,14,7,0,10,0.4,2.8,100.00%,58,0,0
115,Aaron Rodgers,GNB,34,QB,7,6,18,83,0,18,4.6,11.9,2.6,,,,,,,,,,83,0,1
116,Joe Flacco,BAL,32,QB,11,11,16,54,0,25,3.4,4.9,1.5,,,,,,,,,,54,0,5
117,Tyreek Hill,KAN,23,WR,11,9,16,60,0,16,3.8,5.5,1.5,77,54,726,13.4,4,75,4.9,66,70.10%,786,4,2
