Rk,Name,Tm,Age,Pos,G,GS,*Tgt,*Rec,Ctch%,*Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
364,Marcus Johnson,PHI,23,,9,0,5,2,40.00%,22,11,0,16,0.2,2.4,0
365,Ben Koyack,JAX,24,te,11,3,4,2,50.00%,28,14,0,21,0.2,2.5,0
366,Tre Madden,SEA,24,fb,8,3,2,2,100.00%,65,32.5,0,66,0.3,8.1,0
367,Sean McGrath,LAC,30,te,10,4,2,2,100.00%,20,10,0,10,0.2,2,0
368,Isaiah McKenzie,DEN,22,,8,0,8,2,25.00%,14,7,0,14,0.3,1.8,5
369,Alfred Morris,DAL,29,rb,9,2,3,2,66.70%,22,11,0,13,0.2,2.4,0
370,Jay Prosch,HOU,25,fb,11,4,2,2,100.00%,19,9.5,0,18,0.2,1.7,0
371,Bernard Reedy,TAM,26,,9,0,2,2,100.00%,21,10.5,0,15,0.2,2.3,1
372,Geoff Swaim,DAL,24,,10,0,2,2,100.00%,25,12.5,0,18,0.2,2.5,0
373,Ryan Switzer,DAL,23,,11,0,2,2,100.00%,9,4.5,0,7,0.2,0.8,1
374,Randall Telfer,CLE,25,TE,11,10,2,2,100.00%,24,12,0,20,0.2,2.2,0
375,Dan Vitale,CLE,24,fb,11,4,4,2,50.00%,18,9,0,11,0.2,1.6,0
376,Terron Ward,ATL,25,,9,0,2,2,100.00%,8,4,0,11,0.2,0.9,1
377,Dwayne Washington,DET,23,,5,0,2,2,100.00%,14,7,0,10,0.4,2.8,0
378,Terrance West,BAL,26,rb,5,4,4,2,50.00%,23,11.5,0,15,0.4,4.6,1
379,Kevin White,CHI,25,wr,1,1,4,2,50.00%,6,3,0,6,2,6,0
380,Jamal Agnew,DET,22,,10,0,1,1,100.00%,12,12,0,12,0.1,1.2,2
381,Cameron Artis-Payne,CAR,25,,8,0,1,1,100.00%,2,2,0,2,0.1,0.3,0
382,Blake Bell,MIN,26,te,11,2,2,1,50.00%,12,12,0,12,0.1,1.1,0
383,Arrelious Benn,JAX,29,,9,0,2,1,50.00%,12,12,0,12,0.1,1.3,0
384,Brenton Bersin,CAR,27,,3,0,3,1,33.30%,12,12,0,12,0.3,4,0
385,Mack Brown,WAS,26,,3,0,1,1,100.00%,11,11,0,11,0.3,3.7,0
