Rk,Name,Tm,Age,Pos,G,GS,*Tgt,*Rec,Ctch%,*Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
104,Deonte Thompson,2TM,28,,11,5,47,28,59.60%,370,13.2,2,44,2.5,33.6,1
105,DeAndre Washington,OAK,24,,10,0,34,28,82.40%,169,6,1,15,2.8,16.9,2
106,Sammy Watkins,LAR,24,WR,11,10,47,28,59.60%,490,17.5,5,67,2.5,44.5,0
107,Martavis Bryant,PIT,26,wr,10,5,51,27,52.90%,346,12.8,2,51,2.7,34.6,0
108,Marquise Goodwin,SFO,27,WR,11,11,62,27,43.50%,578,21.4,1,83,2.5,52.5,0
109,Lamar Miller,HOU,26,RB,11,10,34,27,79.40%,271,10,3,32,2.5,24.6,1
110,Jordan Reed,WAS,27,te,6,5,35,27,77.10%,211,7.8,2,20,4.5,35.2,1
111,Tyrell Williams,LAC,25,WR,11,10,45,27,60.00%,440,16.3,2,75,2.5,40,1
112,Ed Dickson,CAR,30,TE,11,10,42,26,61.90%,397,15.3,1,64,2.4,36.1,0
113,Ricardo Louis,CLE,23,WR,11,9,57,26,45.60%,322,12.4,0,37,2.4,29.3,0
114,Joe Mixon,CIN,21,rb,11,4,29,26,89.70%,258,9.9,0,67,2.4,23.5,2
115,Charles Sims,TAM,27,,11,0,36,26,72.20%,178,6.8,1,25,2.4,16.2,1
116,Trent Taylor,SFO,23,,10,0,40,26,65.00%,239,9.2,1,29,2.6,23.9,1
117,Odell Beckham,NYG,25,wr,4,2,41,25,61.00%,302,12.1,3,48,6.3,75.5,0
118,Jaron Brown,ARI,27,wr,11,5,52,25,48.10%,401,16,3,52,2.3,36.5,0
119,Jermaine Gresham,ARI,29,TE,10,10,37,25,67.60%,250,10,2,20,2.5,25,0
120,Seth Devalve,CLE,24,te,11,3,43,24,55.80%,302,12.6,1,49,2.2,27.5,1
121,Austin Ekeler,LAC,22,,11,0,28,24,85.70%,252,10.5,3,38,2.2,22.9,1
122,Bennie Fowler,DEN,26,wr,11,2,43,24,55.80%,271,11.3,3,29,2.2,24.6,0
123,T.J. Jones,DET,25,WR,11,6,43,24,55.80%,347,14.5,0,34,2.2,31.5,0
124,Jordan Matthews,BUF,25,WR,9,6,33,24,72.70%,268,11.2,1,47,2.7,29.8,1
125,David Njoku,CLE,21,te,11,2,43,24,55.80%,258,10.8,3,31,2.2,23.5,0
126,Seth Roberts,OAK,26,WR,10,6,39,24,61.50%,262,10.9,1,29,2.4,26.2,2
127,Charcandrick West,KAN,26,,10,0,27,24,88.90%,122,5.1,2,13,2.4,12.2,1
128,Travis Benjamin,LAC,28,wr,11,2,38,23,60.50%,375,16.3,3,46,2.1,34.1,2
129,Zay Jones,BUF,22,WR,10,9,61,23,37.70%,269,11.7,2,33,2.3,26.9,0
130,Ty Montgomery,GNB,24,rb,8,5,31,23,74.20%,173,7.5,1,23,2.9,21.6,0
131,JJ Nelson,ARI,25,wr,11,2,45,23,51.10%,376,16.3,2,45,2.1,34.2,1
132,Coby Fleener,NOR,29,,11,0,30,22,73.30%,295,13.4,2,33,2,26.8,0
133,Leonard Fournette,JAX,22,RB,9,9,30,22,73.30%,173,7.9,1,28,2.4,19.2,1
134,Jeremy Kerley,NYJ,29,wr,8,2,27,22,81.50%,217,9.9,1,31,2.8,27.1,3
135,J.D. McKissic,SEA,24,rb,8,1,31,22,71.00%,173,7.9,1,27,2.8,21.6,0
136,Torrey Smith,PHI,28,WR,11,9,38,22,57.90%,279,12.7,2,59,2,25.4,0
137,Rex Burkhead,NWE,27,rb,7,2,26,21,80.80%,179,8.5,3,19,3,25.6,1
138,Josh Doctson,WAS,25,WR,11,9,40,21,52.50%,328,15.6,4,52,1.9,29.8,0
139,Tyler Higbee,LAR,24,TE,11,11,41,21,51.20%,262,12.5,1,38,1.9,23.8,0
140,Donte Moncrief,IND,24,WR,11,7,39,21,53.80%,354,16.9,2,60,1.9,32.2,0
141,Cordarrelle Patterson,OAK,26,wr,11,1,27,21,77.80%,186,8.9,0,54,1.9,16.9,1
142,Jalen Richard,OAK,24,rb,11,1,28,21,75.00%,210,10,1,39,1.9,19.1,3
143,Ameer Abdullah,DET,24,RB,11,11,27,20,74.10%,133,6.7,1,22,1.8,12.1,2
144,Devontae Booker,DEN,25,,8,0,25,20,80.00%,204,10.2,0,29,2.5,25.5,0
145,Nick Boyle,BAL,24,TE,10,8,24,20,83.30%,149,7.5,0,14,2,14.9,0
146,Corey Davis,TEN,22,wr,6,5,39,20,51.30%,215,10.8,0,23,3.3,35.8,1
147,Frank Gore,IND,34,RB,11,11,28,20,71.40%,169,8.5,0,26,1.8,15.4,2
148,Rashard Higgins,CLE,23,wr,10,3,40,20,50.00%,214,10.7,0,35,2,21.4,0
149,O.J. Howard,TAM,23,TE,11,11,30,20,66.70%,331,16.6,4,58,1.8,30.1,2
150,Chris Ivory,JAX,29,rb,11,2,27,20,74.10%,172,8.6,1,29,1.8,15.6,2
151,Roger Lewis,NYG,24,wr,11,5,37,20,54.10%,247,12.4,2,34,1.8,22.5,0
152,Zach Miller,CHI,33,TE,8,6,35,20,57.10%,236,11.8,2,29,2.5,29.5,0
153,Bilal Powell,NYJ,29,RB,10,7,26,20,76.90%,158,7.9,0,31,2,15.8,1
154,Terrelle Pryor,WAS,28,wr,9,2,37,20,54.10%,240,12,1,44,2.2,26.7,0
155,Damien Williams,MIA,25,rb,11,4,28,20,71.40%,155,7.8,1,24,1.8,14.1,0
156,Albert Wilson,KAN,25,wr,8,3,29,20,69.00%,257,12.9,3,63,2.5,32.1,0
157,Giovani Bernard,CIN,26,,11,0,28,19,67.90%,219,11.5,2,61,1.7,19.9,0
158,John Brown,ARI,27,wr,8,5,47,19,40.40%,271,14.3,2,52,2.4,33.9,0
159,Keelan Cole,JAX,24,wr,11,3,47,19,40.40%,273,14.4,0,52,1.7,24.8,1
160,Isaiah Crowell,CLE,24,RB,11,11,29,19,65.50%,177,9.3,0,38,1.7,16.1,1
161,A.J. Derby,DEN,26,fb,9,1,31,19,61.30%,224,11.8,2,29,2.1,24.9,1
162,Ezekiel Elliott,DAL,22,RB,8,8,26,19,73.10%,210,11.1,2,72,2.4,26.3,1
163,Devonta Freeman,ATL,25,RB,9,9,24,19,79.20%,137,7.2,0,20,2.1,15.2,0
164,Matt Breida,SFO,22,,11,0,32,18,56.30%,136,7.6,1,21,1.6,12.4,1
165,Tevin Coleman,ATL,24,rb,11,2,27,18,66.70%,218,12.1,2,39,1.6,19.8,1
166,Brandon Marshall,NYG,33,wr,5,5,33,18,54.50%,154,8.6,0,18,3.6,30.8,0
167,Nick O'Leary,BUF,25,te,11,5,26,18,69.20%,254,14.1,1,32,1.6,23.1,1
168,Stephen Anderson,HOU,24,te,10,2,28,17,60.70%,243,14.3,0,42,1.7,24.3,0
169,Will Fuller,HOU,23,WR,6,6,33,17,51.50%,326,19.2,7,59,2.8,54.3,0
170,Jay Ajayi,2TM,24,,10,7,23,16,69.60%,84,5.3,0,15,1.6,8.4,2
171,Kenny Britt,CLE,29,wr,8,4,35,16,45.70%,223,13.9,2,38,2,27.9,0
172,Brandon Coleman,NOR,25,wr,11,4,26,16,61.50%,288,18,3,54,1.5,26.2,0
173,Antonio Gates,LAC,37,te,11,2,30,16,53.30%,147,9.2,1,16,1.5,13.4,0
174,Chris Godwin,TAM,21,wr,11,1,26,16,61.50%,206,12.9,0,24,1.5,18.7,0
175,Jordan Howard,CHI,23,RB,11,11,23,16,69.60%,91,5.7,0,12,1.5,8.3,1
176,Kyle Juszczyk,SFO,26,FB,9,6,22,16,72.70%,120,7.5,1,34,1.8,13.3,2
177,T.J. Yeldon,JAX,24,,5,0,22,16,72.70%,112,7,0,16,3.2,22.4,2
178,C.J. Anderson,DEN,26,RB,11,11,20,15,75.00%,111,7.4,1,17,1.4,10.1,1
179,Jamaal Charles,DEN,31,,11,0,20,15,75.00%,78,5.2,0,14,1.4,7.1,2
180,Corey Coleman,CLE,23,rt/wr,5,5,32,15,46.90%,206,13.7,1,44,3,41.2,0
181,Orleans Darkwa,NYG,25,RB,10,7,20,15,75.00%,93,6.2,0,13,1.5,9.3,0
182,Kenyan Drake,MIA,23,rb,11,1,20,15,75.00%,89,5.9,1,17,1.4,8.1,2
183,Justin Hardy,ATL,26,,11,0,21,15,71.40%,146,9.7,2,22,1.4,13.3,0
184,Dontrelle Inman,2TM,28,,7,3,26,15,57.70%,204,13.6,0,26,2.1,29.1,0
185,Dion Lewis,NWE,27,rb,11,5,16,15,93.80%,87,5.8,1,15,1.4,7.9,0
186,Marcedes Lewis,JAX,33,TE,11,11,35,15,42.90%,219,14.6,5,37,1.4,19.9,0
187,Demarcus Robinson,KAN,23,wr,11,5,26,15,57.70%,164,10.9,0,33,1.4,14.9,0
188,Curtis Samuel,CAR,21,rb/wr,9,4,26,15,57.70%,115,7.7,0,23,1.7,12.8,0
189,Kamar Aiken,IND,28,WR,10,7,38,14,36.80%,131,9.4,0,21,1.4,13.1,0
190,Wayne Gallman,NYG,23,,8,0,21,14,66.70%,61,4.4,1,10,1.8,7.6,2
191,Marlon Mack,IND,21,,9,0,22,14,63.60%,149,10.6,1,34,1.6,16.6,1
192,Aldrick Robinson,SFO,29,wr,11,1,39,14,35.90%,206,14.7,1,45,1.3,18.7,0
193,Chester Rogers,IND,23,,6,0,16,14,87.50%,185,13.2,1,61,2.3,30.8,0
194,Russell Shepard,CAR,27,wr,11,2,27,14,51.90%,173,12.4,1,40,1.3,15.7,0
195,Taywan Taylor,TEN,22,wr,11,3,24,14,58.30%,216,15.4,1,53,1.3,19.6,0
196,Laquon Treadwell,MIN,22,wr,11,5,25,14,56.00%,152,10.9,0,25,1.3,13.8,1
197,Brice Butler,DAL,27,,11,0,20,13,65.00%,267,20.5,2,53,1.2,24.3,0
198,Garrett Celek,SFO,29,fb/TE,11,9,21,13,61.90%,148,11.4,2,47,1.2,13.5,0
199,Darren Fells,DET,31,TE,11,8,22,13,59.10%,132,10.2,3,22,1.2,12,0
200,Kenny Golladay,DET,24,k,6,0,25,13,52.00%,279,21.5,2,50,2.2,46.5,0
201,Ryan Griffin,HOU,27,TE,7,6,26,13,50.00%,158,12.2,1,35,1.9,22.6,0
202,Andre Holmes,BUF,29,wr,11,2,21,13,61.90%,120,9.2,3,36,1.2,10.9,0
203,Cody Latimer,DEN,25,,8,0,21,13,61.90%,185,14.2,1,32,1.6,23.1,1
204,Jonnu Smith,TEN,22,TE/wr,11,9,23,13,56.50%,127,9.8,2,32,1.2,11.5,0
205,Jamaal Williams,GNB,22,rb,11,2,16,13,81.30%,152,11.7,1,54,1.2,13.8,0
206,Josh Bellamy,CHI,28,wr,10,3,24,12,50.00%,171,14.3,1,46,1.2,17.1,0
207,Travaris Cadet,2TM,28,,5,0,12,12,100.00%,86,7.2,0,16,2.4,17.2,0
208,Michael Campanaro,BAL,26,,8,0,17,12,70.60%,91,7.6,0,18,1.5,11.4,2
209,C.J. Fiedorowicz,HOU,26,te,4,4,19,12,63.20%,111,9.3,0,15,3,27.8,0
210,Virgil Green,DEN,29,TE,11,11,19,12,63.20%,149,12.4,1,44,1.1,13.5,0
211,Mack Hollins,PHI,24,,11,0,13,12,92.30%,191,15.9,1,64,1.1,17.4,0
212,Tavarres King,NYG,27,wr,6,3,25,12,48.00%,147,12.3,1,27,2,24.5,0
213,Braxton Miller,HOU,25,wr,8,2,19,12,63.20%,77,6.4,1,19,1.5,9.6,0
214,De'Anthony Thomas,KAN,24,wr,11,1,13,12,92.30%,137,11.4,2,57,1.1,12.5,1
215,Mike Tolbert,BUF,32,,9,0,13,12,92.30%,61,5.1,0,12,1.3,6.8,1
216,Maxx Williams,BAL,23,te,6,4,12,12,100.00%,79,6.6,0,17,2,13.2,1
217,Danny Woodhead,BAL,32,,3,0,13,12,92.30%,77,6.4,0,13,4,25.7,0
218,Geronimo Allison,GNB,23,,10,0,20,11,55.00%,167,15.2,0,72,1.1,16.7,1
219,Trey Burton,PHI,26,te,10,1,14,11,78.60%,111,10.1,2,27,1.1,11.1,0
220,Chris Conley,KAN,25,wr,5,5,16,11,68.80%,175,15.9,0,35,2.2,35,0
221,Dalvin Cook,MIN,22,rb,4,4,16,11,68.80%,90,8.2,0,36,2.8,22.5,1
222,Benny Cunningham,CHI,27,,9,0,16,11,68.80%,125,11.4,1,38,1.2,13.9,1
223,Elijah McGuire,NYJ,23,rb,11,1,16,11,68.80%,113,10.3,0,22,1,10.3,1
224,Adrian Peterson,2TM,32,,10,7,19,11,57.90%,70,6.4,0,13,1.1,7,3
225,Eli Rogers,PIT,25,wr,9,2,22,11,50.00%,87,7.9,0,16,1.2,9.7,1
226,Luke Willson,SEA,27,te,11,4,16,11,68.80%,106,9.6,3,27,1,9.6,0
227,Jarius Wright,MIN,28,,11,0,17,11,64.70%,148,13.5,2,30,1,13.5,0
228,Tavon Austin,LAR,26,WR,11,6,16,10,62.50%,42,4.2,0,13,0.9,3.8,4
