Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
TE,Cameron Brate,2900,TB@GB 12/03/2017 01:00PM ET,9.382,TB
DST,Dolphins ,2900,DEN@MIA 12/03/2017 01:00PM ET,4.455,MIA
TE,Martellus Bennett,2800,NE@BUF 12/03/2017 01:00PM ET,6.511,NE
DST,Packers ,2800,TB@GB 12/03/2017 01:00PM ET,6.455,GB
TE,O.J. Howard,2800,TB@GB 12/03/2017 01:00PM ET,6.918,TB
DST,Saints ,2800,CAR@NO 12/03/2017 04:25PM ET,9.545,NO
TE,C.J. Fiedorowicz,2800,HOU@TEN 12/03/2017 01:00PM ET,5.775,HOU
DST,Vikings ,2700,MIN@ATL 12/03/2017 01:00PM ET,6.455,MIN
TE,George Kittle,2700,SF@CHI 12/03/2017 01:00PM ET,6.31,SF
DST,Colts ,2700,IND@JAX 12/03/2017 01:00PM ET,6.273,IND
TE,Marcedes Lewis,2700,IND@JAX 12/03/2017 01:00PM ET,6.082,JAX
TE,Jonnu Smith,2700,HOU@TEN 12/03/2017 01:00PM ET,3.427,TEN
TE,Antonio Gates,2700,CLE@LAC 12/03/2017 04:05PM ET,3.336,LAC
DST,Falcons ,2600,MIN@ATL 12/03/2017 01:00PM ET,6.545,ATL
TE,Garrett Celek,2600,SF@CHI 12/03/2017 01:00PM ET,3.618,SF
DST,49ers ,2600,SF@CHI 12/03/2017 01:00PM ET,4,SF
TE,Coby Fleener,2600,CAR@NO 12/03/2017 04:25PM ET,5.773,NO
TE,Eric Saubert,2500,MIN@ATL 12/03/2017 01:00PM ET,0,ATL
TE,Levine Toilolo,2500,MIN@ATL 12/03/2017 01:00PM ET,2.182,ATL
TE,Kevin McDermott,2500,MIN@ATL 12/03/2017 01:00PM ET,0,MIN
TE,Blake Bell,2500,MIN@ATL 12/03/2017 01:00PM ET,0.2,MIN
TE,David Morgan,2500,MIN@ATL 12/03/2017 01:00PM ET,1.309,MIN
TE,Michael Roberts,2500,DET@BAL 12/03/2017 01:00PM ET,0.227,DET
TE,Darren Fells,2500,DET@BAL 12/03/2017 01:00PM ET,4.018,DET
TE,Nick Boyle,2500,DET@BAL 12/03/2017 01:00PM ET,3.69,BAL
TE,Maxx Williams,2500,DET@BAL 12/03/2017 01:00PM ET,3.183,BAL
TE,Vince Mayle,2500,DET@BAL 12/03/2017 01:00PM ET,0.564,BAL
TE,Logan Thomas,2500,NE@BUF 12/03/2017 01:00PM ET,1.856,BUF
TE,Nick O'Leary,2500,NE@BUF 12/03/2017 01:00PM ET,4.4,BUF
