Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Austin Ekeler,4200,CLE@LAC 12/03/2017 04:05PM ET,8.736,LAC
TE,Charles Clay,4100,NE@BUF 12/03/2017 01:00PM ET,9.975,BUF
RB,T.J. Yeldon,4100,IND@JAX 12/03/2017 01:00PM ET,11.02,JAX
WR,Dede Westbrook,4100,IND@JAX 12/03/2017 01:00PM ET,8.3,JAX
RB,Devontae Booker,4100,DEN@MIA 12/03/2017 01:00PM ET,7.825,DEN
RB,Isaiah Crowell,4100,CLE@LAC 12/03/2017 04:05PM ET,9.555,CLE
WR,Josh Gordon,4100,CLE@LAC 12/03/2017 04:05PM ET,0,CLE
QB,Kyle Sloter,4000,MIN@ATL 12/03/2017 01:00PM ET,0,MIN
WR,Mike Wallace,4000,DET@BAL 12/03/2017 01:00PM ET,8.75,BAL
QB,Joe Webb,4000,NE@BUF 12/03/2017 01:00PM ET,0,BUF
QB,Mark Sanchez,4000,SF@CHI 12/03/2017 01:00PM ET,0,CHI
WR,Marquise Goodwin,4000,SF@CHI 12/03/2017 01:00PM ET,8.745,SF
QB,Ryan Griffin,4000,TB@GB 12/03/2017 01:00PM ET,0,TB
RB,Doug Martin,4000,TB@GB 12/03/2017 01:00PM ET,8.075,TB
QB,Chad Kelly,4000,DEN@MIA 12/03/2017 01:00PM ET,0,DEN
QB,David Fales,4000,DEN@MIA 12/03/2017 01:00PM ET,0,MIA
QB,Taysom Hill,4000,CAR@NO 12/03/2017 04:25PM ET,0,NO
QB,Garrett Gilbert,4000,CAR@NO 12/03/2017 04:25PM ET,0,CAR
QB,Tyler Bray,4000,KC@NYJ 12/03/2017 01:00PM ET,0,KC
QB,Bryce Petty,4000,KC@NYJ 12/03/2017 01:00PM ET,0,NYJ
QB,Christian Hackenberg,4000,KC@NYJ 12/03/2017 01:00PM ET,0,NYJ
RB,Matt Forte,4000,KC@NYJ 12/03/2017 01:00PM ET,11.363,NYJ
TE,Austin Seferian-Jenkins,4000,KC@NYJ 12/03/2017 01:00PM ET,9.944,NYJ
WR,Bruce Ellington,4000,HOU@TEN 12/03/2017 01:00PM ET,7.4,HOU
QB,Brandon Weeden,4000,HOU@TEN 12/03/2017 01:00PM ET,0,TEN
DST,Chargers ,4000,CLE@LAC 12/03/2017 04:05PM ET,10.636,LAC
QB,Brandon Allen,4000,LAR@ARI 12/03/2017 04:25PM ET,0,LAR
QB,Matt Barkley,4000,LAR@ARI 12/03/2017 04:25PM ET,0,ARI
QB,Connor Cook,4000,NYG@OAK 12/03/2017 04:25PM ET,0,OAK
QB,Davis Webb,4000,NYG@OAK 12/03/2017 04:25PM ET,0,NYG
WR,Kenny Golladay,3900,DET@BAL 12/03/2017 01:00PM ET,8.817,DET
RB,Mike Tolbert,3900,NE@BUF 12/03/2017 01:00PM ET,4.667,BUF
WR,Dontrelle Inman,3900,SF@CHI 12/03/2017 01:00PM ET,5.057,CHI
WR,Randall Cobb,3900,TB@GB 12/03/2017 01:00PM ET,10.32,GB
RB,Peyton Barber,3900,TB@GB 12/03/2017 01:00PM ET,2.536,TB
RB,Damien Williams,3900,DEN@MIA 12/03/2017 01:00PM ET,5.418,MIA
WR,Tyrell Williams,3900,CLE@LAC 12/03/2017 04:05PM ET,7.727,LAC
RB,Malcolm Brown,3900,LAR@ARI 12/03/2017 04:25PM ET,4.2,LAR
RB,Ameer Abdullah,3800,DET@BAL 12/03/2017 01:00PM ET,9.709,DET
RB,Frank Gore,3800,IND@JAX 12/03/2017 01:00PM ET,10.182,IND
TE,Ed Dickson,3800,CAR@NO 12/03/2017 04:25PM ET,6.791,CAR
WR,Eric Decker,3800,HOU@TEN 12/03/2017 01:00PM ET,6.6,TEN
RB,DeAndre Washington,3800,NYG@OAK 12/03/2017 04:25PM ET,6.84,OAK
RB,Javorius Allen,3700,DET@BAL 12/03/2017 01:00PM ET,11.364,BAL
RB,James White,3700,NE@BUF 12/03/2017 01:00PM ET,10.191,NE
RB,Tarik Cohen,3700,SF@CHI 12/03/2017 01:00PM ET,9.931,CHI
RB,Alfred Blue,3700,HOU@TEN 12/03/2017 01:00PM ET,1.271,HOU
WR,Travis Benjamin,3700,CLE@LAC 12/03/2017 04:05PM ET,8.564,LAC
WR,Jaron Brown,3700,LAR@ARI 12/03/2017 04:25PM ET,7.827,ARI
RB,Jalen Richard,3700,NYG@OAK 12/03/2017 04:25PM ET,6.9,OAK
WR,Seth Roberts,3700,NYG@OAK 12/03/2017 04:25PM ET,5.42,OAK
WR,Malcolm Mitchell,3600,NE@BUF 12/03/2017 01:00PM ET,0,NE
WR,Aldrick Robinson,3600,SF@CHI 12/03/2017 01:00PM ET,3.691,SF
RB,Devante Mays,3600,TB@GB 12/03/2017 01:00PM ET,-0.275,GB
RB,Charles Sims,3600,TB@GB 12/03/2017 01:00PM ET,4.955,TB
RB,C.J. Anderson,3600,DEN@MIA 12/03/2017 01:00PM ET,9.509,DEN
RB,Jonathan Stewart,3600,CAR@NO 12/03/2017 04:25PM ET,7,CAR
DST,Rams ,3600,LAR@ARI 12/03/2017 04:25PM ET,10.545,LAR
RB,Kerwynn Williams,3600,LAR@ARI 12/03/2017 04:25PM ET,2.245,ARI
RB,Terron Ward,3500,MIN@ATL 12/03/2017 01:00PM ET,1.189,ATL
WR,Jordan Matthews,3500,NE@BUF 12/03/2017 01:00PM ET,6.2,BUF
